"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"13/06/2022","14.680,5","14.645,0","14.684,0","14.637,5","0,90%"
"10/06/2022","14.550,0","14.580,0","14.587,5","14.544,0","-0,07%"
"09/06/2022","14.560,0","14.512,5","14.568,5","14.512,5","0,48%"
"08/06/2022","14.490,0","14.465,0","14.497,5","14.456,5","0,25%"
"07/06/2022","14.454,0","14.462,5","14.472,5","14.454,5","0,03%"
"06/06/2022","14.450,0","14.455,0","14.470,0","14.449,0","0,10%"
"03/06/2022","14.435,0","14.435,0","14.452,5","14.420,0","-0,31%"
"02/06/2022","14.480,0","14.572,5","14.585,0","14.478,5","-0,69%"
"31/05/2022","14.580,0","14.569,0","14.602,0","14.555,0","0,16%"
"30/05/2022","14.557,0","14.532,5","14.558,5","14.520,0","-0,12%"
"27/05/2022","14.575,0","14.605,0","14.607,5","14.557,5","-0,38%"
"25/05/2022","14.630,0","14.645,0","14.663,5","14.627,5","-0,17%"
"24/05/2022","14.655,0","14.662,5","14.670,0","14.642,0","-0,10%"
"23/05/2022","14.670,0","14.645,0","14.677,5","14.637,5","0,14%"
"20/05/2022","14.650,0","14.625,0","14.677,5","14.624,5","-0,54%"
"19/05/2022","14.730,0","14.671,5","14.738,0","14.671,5","0,31%"
"18/05/2022","14.685,0","14.640,0","14.692,5","14.640,0","0,27%"
"17/05/2022","14.645,0","14.617,5","14.669,0","14.615,0","0,24%"
"13/05/2022","14.610,0","14.610,0","14.627,5","14.594,5","0,10%"
"12/05/2022","14.595,0","14.540,0","14.602,5","14.537,5","0,27%"
"11/05/2022","14.555,0","14.530,0","14.561,0","14.524,0","0,00%"
"10/05/2022","14.555,0","14.565,0","14.570,0","14.531,0","0,00%"
"09/05/2022","14.555,0","14.510,0","14.562,5","14.502,5","0,40%"
"28/04/2022","14.497,0","14.450,0","14.502,5","14.442,5","0,53%"
"27/04/2022","14.420,0","14.420,0","14.435,0","14.404,5","0,07%"
"26/04/2022","14.410,0","14.447,5","14.450,0","14.393,0","-0,31%"
"25/04/2022","14.455,0","14.460,0","14.477,5","14.387,5","0,69%"
"22/04/2022","14.356,0","14.360,0","14.367,5","14.352,5","0,09%"
"21/04/2022","14.343,0","14.347,5","14.355,5","14.339,0","-0,08%"
"20/04/2022","14.355,0","14.355,0","14.365,0","14.342,5","0,14%"
"19/04/2022","14.335,0","14.357,5","14.360,0","14.328,0","-0,13%"
"18/04/2022","14.353,0","14.366,5","14.366,5","14.349,5","0,07%"
"14/04/2022","14.343,0","14.356,5","14.360,0","14.342,0","-0,13%"
"13/04/2022","14.362,0","14.355,0","14.370,0","14.353,5","0,01%"
"12/04/2022","14.360,0","14.365,0","14.367,5","14.357,5","-0,03%"
"11/04/2022","14.365,0","14.375,0","14.380,0","14.362,5","0,03%"
"08/04/2022","14.360,0","14.375,0","14.386,0","14.355,0","0,01%"
"07/04/2022","14.358,0","14.362,5","14.368,5","14.351,0","0,02%"
"06/04/2022","14.355,0","14.365,0","14.376,5","14.353,0","0,07%"
"05/04/2022","14.345,0","14.340,0","14.353,5","14.337,5","-0,06%"
"04/04/2022","14.353,0","14.365,0","14.372,5","14.351,0","-0,08%"
"01/04/2022","14.365,0","14.360,0","14.370,0","14.352,5","-0,02%"
"31/03/2022","14.368,0","14.340,0","14.369,0","14.334,5","0,20%"
"30/03/2022","14.340,0","14.340,0","14.358,5","14.332,5","-0,16%"
"29/03/2022","14.363,0","14.367,5","14.371,0","14.352,5","0,01%"
"28/03/2022","14.362,0","14.345,0","14.366,5","14.344,0","0,15%"
"25/03/2022","14.340,0","14.340,0","14.347,5","14.332,5","-0,03%"
"24/03/2022","14.344,0","14.380,0","14.380,0","14.348,5","-0,01%"
"23/03/2022","14.345,0","14.337,5","14.361,5","14.334,5","-0,08%"
"22/03/2022","14.356,0","14.350,0","14.371,0","14.346,5","0,13%"
"21/03/2022","14.338,0","14.345,0","14.347,5","14.330,5","-0,01%"
"18/03/2022","14.340,0","14.312,5","14.347,5","14.312,5","0,28%"
"17/03/2022","14.300,0","14.290,0","14.305,0","14.260,0","-0,07%"
"16/03/2022","14.310,0","14.300,0","14.322,5","14.292,5","-0,10%"
"15/03/2022","14.325,0","14.342,5","14.347,5","14.295,0","-0,03%"
"14/03/2022","14.330,0","14.312,5","14.342,5","14.307,5","0,21%"
"11/03/2022","14.300,0","14.290,0","14.317,5","14.281,0","0,18%"
"10/03/2022","14.275,0","14.295,0","14.320,0","14.260,0","-0,49%"
"09/03/2022","14.345,0","14.350,0","14.386,0","14.344,0","-0,35%"
"08/03/2022","14.395,0","14.392,5","14.405,0","14.382,0","-0,07%"
"07/03/2022","14.405,0","14.415,0","14.420,0","14.401,0","0,14%"
"04/03/2022","14.385,0","14.385,0","14.395,0","14.371,5","0,00%"
"02/03/2022","14.385,0","14.357,5","14.390,0","14.337,0","0,35%"
"01/03/2022","14.335,0","14.355,0","14.370,0","14.333,5","-0,21%"
"25/02/2022","14.365,0","14.377,5","14.382,5","14.359,0","-0,10%"
"24/02/2022","14.380,0","14.357,5","14.390,0","14.332,5","0,31%"
"23/02/2022","14.335,0","14.350,0","14.365,0","14.337,5","-0,18%"
"22/02/2022","14.361,0","14.345,0","14.372,5","14.332,0","0,25%"
"21/02/2022","14.325,0","14.360,0","14.360,0","14.316,0","0,00%"
"18/02/2022","14.325,0","14.327,5","14.355,0","14.318,5","0,07%"
"17/02/2022","14.315,0","14.252,5","14.325,0","14.250,0","0,42%"
"16/02/2022","14.255,0","14.277,5","14.297,5","14.249,0","-0,31%"
"15/02/2022","14.300,0","14.315,0","14.315,0","14.271,5","-0,17%"
"14/02/2022","14.325,0","14.350,0","14.355,0","14.321,0","-0,17%"
"11/02/2022","14.350,0","14.347,5","14.367,5","14.346,5","0,07%"
"10/02/2022","14.340,0","14.350,0","14.352,0","14.330,0","-0,10%"
"09/02/2022","14.355,0","14.375,0","14.380,0","14.357,5","-0,24%"
"08/02/2022","14.390,0","14.387,5","14.396,0","14.375,0","-0,03%"
"07/02/2022","14.395,0","14.387,5","14.409,0","14.377,5","0,12%"
"04/02/2022","14.378,0","14.375,0","14.381,5","14.365,0","0,02%"
"03/02/2022","14.375,0","14.365,0","14.390,0","14.357,5","0,14%"
"02/02/2022","14.355,0","14.315,0","14.362,5","14.315,0","-0,17%"
"31/01/2022","14.380,0","14.405,0","14.412,5","14.365,0","-0,03%"
"28/01/2022","14.385,0","14.375,0","14.395,0","14.357,5","0,00%"
"27/01/2022","14.385,0","14.380,0","14.395,0","14.363,5","0,24%"
"26/01/2022","14.350,0","14.317,5","14.357,5","14.317,5","0,00%"
"25/01/2022","14.350,0","14.350,0","14.363,5","14.345,5","0,07%"
"24/01/2022","14.340,0","14.315,0","14.353,0","14.304,5","0,03%"
"21/01/2022","14.335,0","14.355,0","14.362,5","14.335,0","0,00%"
"20/01/2022","14.335,0","14.335,0","14.365,0","14.330,0","-0,17%"
"19/01/2022","14.360,0","14.357,5","14.377,5","14.334,5","0,17%"
"18/01/2022","14.335,0","14.306,5","14.346,0","14.299,0","0,14%"
"17/01/2022","14.315,0","14.312,5","14.330,0","14.296,5","0,14%"
"14/01/2022","14.295,0","14.305,0","14.319,5","14.293,0","0,03%"
"13/01/2022","14.290,0","14.315,0","14.322,0","14.292,0","-0,17%"
"12/01/2022","14.315,0","14.295,0","14.322,5","14.284,0","0,10%"
"11/01/2022","14.300,0","14.302,5","14.315,0","14.272,5","-0,03%"
"10/01/2022","14.305,0","14.312,5","14.342,5","14.296,0","-0,35%"
"07/01/2022","14.355,0","14.375,0","14.377,5","14.352,5","-0,24%"
"06/01/2022","14.390,0","14.394,0","14.404,0","14.377,0","0,24%"
"05/01/2022","14.355,0","14.347,5","14.371,5","14.335,0","0,38%"
